name,description,price,imageUrls,unit,stock,tags,storeEmail
Gula Aren Organik Premium,"Gula aren organik premium dari petani lokal Bogor. Diproses secara tradisional tanpa bahan kimia, memberikan rasa manis alami yang sempurna untuk berbagai produk makanan dan minuman.",15000,"/images/gula-aren-1.jpg,/images/gula-aren-2.jpg,/images/gula-aren-3.jpg",kg,2500,"organik,gula aren,premium,bogor",budi@example.com
Tepung Singkong,"Tepung singkong berkualitas tinggi hasil olahan tradisional. Bebas gluten dan cocok untuk berbagai kebutuhan pembuatan makanan tradisional maupun modern.",12000,"/images/tepung-singkong-1.jpg,/images/tepung-singkong-2.jpg",kg,1500,"tepung,singkong,bebas gluten,tradisional",sari@example.com
Beras Merah Organik,"Beras merah organik pilihan dari sawah organik Jawa Barat. Kaya nutrisi dan serat, cocok untuk diet sehat dan gaya hidup organik.",18000,"/images/beras-merah-1.jpg,/images/beras-merah-2.jpg,/images/beras-merah-3.jpg",kg,3000,"beras,merah,organik,sehat",budi@example.com
Minyak Kelapa Virgin,"Minyak kelapa virgin murni hasil ekstraksi dingin. Tidak menggunakan bahan kimia dan mempertahankan nutrisi alami kelapa.",45000,"/images/minyak-kelapa-1.jpg,/images/minyak-kelapa-2.jpg",liter,800,"minyak kelapa,virgin,ekstraksi dingin,murni",ahmad@example.com
Kopi Arabika Aceh,"Kopi arabika premium dari dataran tinggi Aceh. Memiliki cita rasa yang khas dengan aroma yang harum dan rasa yang tidak terlalu pahit.",85000,"/images/kopi-arabika-1.jpg,/images/kopi-arabika-2.jpg,/images/kopi-arabika-3.jpg",kg,500,"kopi,arabika,aceh,premium",ahmad@example.com
Tepung Terigu Protein Tinggi,"Tepung terigu dengan kandungan protein tinggi, cocok untuk pembuatan roti dan kue yang membutuhkan tekstur yang elastis.",14000,"/images/tepung-terigu-1.jpg,/images/tepung-terigu-2.jpg",kg,2000,"tepung terigu,protein tinggi,roti,kue",sari@example.com
Kerupuk Udang Asli,"Kerupuk udang tradisional dibuat dari udang segar pilihan. Diproduksi secara higienis dengan kemasan kedap udara untuk menjaga kerenyahan.",25000,"/images/kerupuk-udang-1.jpg,/images/kerupuk-udang-2.jpg",pack,1200,"kerupuk,udang,kemasan,tradisional,crispy",sari@example.com
Madu Hutan Murni,"Madu murni dari hutan lebah liar Sumatera. Dikemas dalam botol kaca untuk menjaga kualitas dan keaslian rasa alami madu.",65000,"/images/madu-hutan-1.jpg,/images/madu-hutan-2.jpg",botol,400,"madu,hutan,murni,kemasan,sumatera,alami",budi@example.com
Rendang Daging Instant,"Rendang daging sapi siap saji dalam kemasan vakum. Cita rasa autentik Padang dengan bumbu rempah pilihan yang tahan lama.",35000,"/images/rendang-1.jpg,/images/rendang-2.jpg",pack,800,"rendang,instant,kemasan,padang,siap saji",ahmad@example.com
Sambal Pecel Organik,"Sambal pecel tradisional dengan bumbu kacang organik. Dikemas higienis tanpa pengawet untuk rasa autentik pecel Jawa.",15000,"/images/sambal-pecel-1.jpg,/images/sambal-pecel-2.jpg",jar,600,"sambal,pecel,organik,kemasan,jawa,bumbu",sari@example.com
Abon Ayam Premium,"Abon ayam berkualitas premium dengan tekstur halus dan rasa gurih. Dikemas dalam toples kedap udara untuk kesegaran optimal.",28000,"/images/abon-ayam-1.jpg,/images/abon-ayam-2.jpg",toples,500,"abon,ayam,premium,kemasan,gurih,halal",budi@example.com
Teh Hijau Organik,"Teh hijau organik dari perkebunan Jawa Barat. Dikemas dalam kemasan aluminium foil untuk menjaga aroma dan khasiat antioksidan.",22000,"/images/teh-hijau-1.jpg,/images/teh-hijau-2.jpg",pack,900,"teh,hijau,organik,kemasan,antioksidan,jawa barat",ahmad@example.com
Kacang Mete Panggang,"Kacang mete premium dipanggang dengan sempurna. Dikemas dalam standing pouch untuk menjaga kerenyahan dan cita rasa gurih.",45000,"/images/kacang-mete-1.jpg,/images/kacang-mete-2.jpg",pack,350,"kacang,mete,panggang,kemasan,premium,snack",sari@example.com
Garam Himalaya Pink,"Garam himalaya pink murni dengan mineral alami. Dikemas dalam shaker bottle untuk kemudahan penggunaan di dapur modern.",32000,"/images/garam-himalaya-1.jpg,/images/garam-himalaya-2.jpg",shaker,700,"garam,himalaya,pink,kemasan,mineral,alami",ahmad@example.com
Dendeng Balado Khas,"Dendeng balado khas Minang dengan bumbu pedas manis. Dikemas vakum untuk ketahanan dan kemudahan penyimpanan.",42000,"/images/dendeng-balado-1.jpg,/images/dendeng-balado-2.jpg",pack,450,"dendeng,balado,minang,kemasan,pedas,vakum",budi@example.com
Bumbu Gulai Instant,"Bumbu gulai instant dengan rempah-rempah pilihan. Kemasan praktis untuk memasak gulai authentik dalam waktu singkat.",8000,"/images/bumbu-gulai-1.jpg,/images/bumbu-gulai-2.jpg",sachet,1500,"bumbu,gulai,instant,kemasan,rempah,praktis",sari@example.com
Keripik Pisang Manis,"Keripik pisang manis dari pisang kepok pilihan. Dikemas dalam standing pouch dengan nitrogen flushing untuk kesegaran maksimal.",18000,"/images/keripik-pisang-1.jpg,/images/keripik-pisang-2.jpg",pack,800,"keripik,pisang,manis,kemasan,kepok,nitrogen",ahmad@example.com
Susu Kambing Murni,"Susu kambing murni segar tanpa tambahan kimia. Dikemas dalam botol kaca steril untuk menjaga nutrisi dan kesegaran alami.",35000,"/images/susu-kambing-1.jpg,/images/susu-kambing-2.jpg",botol,300,"susu,kambing,murni,kemasan,segar,steril",budi@example.com
Ikan Asin Jambal,"Ikan asin jambal kualitas export dengan proses pengeringan optimal. Dikemas vakum untuk menjaga rasa dan mencegah kontaminasi.",55000,"/images/ikan-asin-1.jpg,/images/ikan-asin-2.jpg",pack,250,"ikan,asin,jambal,kemasan,export,vakum",ahmad@example.com
Tempe Kedelai Organik,"Tempe kedelai organik fermentasi tradisional. Dikemas fresh dalam kemasan biodegradable ramah lingkungan.",12000,"/images/tempe-1.jpg,/images/tempe-2.jpg",pack,1000,"tempe,kedelai,organik,kemasan,fermentasi,biodegradable",sari@example.com
